index,state,cases,recovered,dead
1,Andaman and Nicobar Islands,33,11,0
2,Andhra Pradesh,1259,258,31
3,Arunachal Pradesh,1,1,0
4,Assam,38,27,1
5,Bihar,346,57,2
6,Chandigarh,40,17,0
7,Chhattisgarh,37,32,0
8,Delhi,3108,877,54
9,Goa,7,7,0
10,Gujarat,3548,394,162
11,Haryana,296,183,3
12,Himachal Pradesh,40,22,1
13,Jammu and Kashmir,546,164,7
14,Jharkhand,103,17,3
15,Karnataka,520,198,20
16,Kerala,482,355,4
17,Ladakh,22,16,0
18,Madhya Pradesh,2368,361,113
19,Maharashtra,8590,1282,369
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,118,37,1
24,Puducherry,8,3,0
25,Punjab,313,71,18
26,Rajasthan,2262,669,46
27,Tamil Nadu,1937,1101,24
28,Telengana,1004,321,26
29,Tripura,2,2,0
30,Uttarakhand,51,33,0
31,Uttar Pradesh,2043,400,31
32,West Bengal,697,109,20
